Cragig_cell_cluster	Procro_cell_cluster	Cragig_gene	Procro_gene	Cragig_Expression (Fold-change)	Procro_Expression (Fold-change)	EC_score	final_score	One-to-one-ortholog (yes/no)
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G732	Procro_g28812	1.7044431053455975	1.5373321228961114	0.772209519801019	2.5033296923033688	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G27586	Procro_g30785	1.5566841838548482	1.6142848174365003	0.7885443569328877	2.500449711977408	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G10525	Procro_g25110	1.508404108834183	1.611021413658103	0.7897029719123388	2.463419605771359	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G4635	Procro_g39102	1.584120769585916	1.5265136148675666	0.7813369867267405	2.430453696757473	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G11483	Procro_g26365	1.7885983064414477	1.687142582534278	0.6989579077196111	2.4293965795339747	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G512	Procro_g6792	2.162847350272682	2.093300089542716	0.5704348471745546	2.4278548143834686	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G2578	Procro_g13950	4.389077728751453	4.414399751227532	0.2728781871457559	2.4022769753151536	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G30125	Procro_g27371	2.0478203103458847	2.267369785197986	0.5104579498994647	2.2027230895977996	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G23342	Procro_g40439	1.6081833876291394	3.1376351266916984	0.4092830348926135	1.942383004590787	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G11327	Procro_g18663	2.145257743677164	1.640561858432072	0.3723955589631365	1.4098224068610679	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G4634	Procro_g1492	1.529539326114964	1.9492713451140768	0.39099412152582524	1.3601945223518652	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G2079	Procro_g20823	1.521701688570823	2.0439442275032853	0.3511042485842737	1.2519134300807837	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G25325	Procro_g38764	2.071594624902471	2.2305547520832687	0.2777685340967847	1.1950017259107244	n
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G5795	Procro_g7140	1.620368952944256	1.5630585814433169	0.3749569151632584	1.1936481679397422	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G12909	Procro_g38766	3.040374489958092	1.8775558029416617	0.22180594985450522	1.0908261999348747	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G20286	Procro_g11902	2.307979503716346	1.9713237516692552	0.2512259344224418	1.0750719590112447	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G15308	Procro_g6861	2.262322055633629	2.382044837378791	0.20475818628926373	0.950972141475126	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G287	Procro_g28168	2.2105583262845605	3.5415409055331035	0.16445003045722292	0.9459328938653835	n
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G314	Procro_g38758	2.472477886653312	1.5785597169249166	0.23034219843382744	0.933124907546313	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G16951	Procro_g4439	1.848508783636752	1.9968476781941733	0.22292729258193905	0.8572349050484326	n
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G13722	Procro_g9793	1.870335453549607	2.735169425152866	0.17685219828327434	0.814493662002877	n
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G22181	Procro_g42172	1.5933370096238626	1.7971167083413893	0.23895559289059187	0.8101678783444982	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G2948	Procro_g3237	1.9085863860530357	6.139311629332869	0.0	0.8047898015385903	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G21108	Procro_g18152	2.636934599099133	1.7451271845141283	0.18170297484439496	0.7962336620344651	n
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G15623	Procro_g19420	1.983025484997971	2.548205903440411	0.1588974743600905	0.7200012233640251	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G5397	Procro_g7033	3.36554469421041	3.005881632908173	0.07731234927073642	0.6371426327118582	n
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G6714	Procro_g10685	1.8593693591516995	2.458479313528142	0.14067398976618975	0.6074089999925201	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G16805	Procro_g38425	3.1750265763997185	2.658692359153541	0.05466455311886865	0.5833718935553259	n
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G26324	Procro_g16683	2.1193430598569187	2.9292560048232583	0.05185731961763846	0.5048599064680178	n
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G7145	Procro_g232	1.9086455827224855	2.68195833196754	0.0	0.45906039146900257	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G6211	Procro_g4589	1.578666091617802	2.500674649073895	0.09845994031963139	0.4079340740691697	n
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G27091	Procro_g6286	2.063730391594391	1.7786285682199974	0.012665181142748524	0.38423589598143887	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G17254	Procro_g14179	1.874487862358164	1.902921329346569	0.0	0.3777409191704733	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G19412	Procro_g10000	1.929957817775544	1.794350903142991	0.058997190253519155	0.37243087209185355	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G9342	Procro_g34077	2.1901842152444444	1.5004156812298437	0.061327325162025915	0.3690599896474288	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G20367	Procro_g25581	1.804258565544932	1.8590737549685037	0.016329924198313958	0.36633323205134366	n
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G27546	Procro_g3708	1.583443765818729	1.6376571551988857	0.03819142892049846	0.3221100921017615	n
Cragig|Unk	Procro|Unk	Cragig_G17022	Procro_g27029	1.558038963227748	2.0399190002738	0.8075598625906103	2.9055664386121025	y
Cragig|Unk	Procro|Unk	Cragig_G29501	Procro_g31220	2.1942342756374105	2.0521368069341444	0.674399946385584	2.863752430419551	n
Cragig|Unk	Procro|Unk	Cragig_G550	Procro_g16895	1.521637121204341	2.048299346129408	0.7971139709590703	2.845646233548	n
Cragig|Unk	Procro|Unk	Cragig_G15607	Procro_g39978	1.60457616476445	1.6170051638946696	0.8158974392262203	2.6284799563119803	y
Cragig|Unk	Procro|Unk	Cragig_G5523	Procro_g9153	1.5094363484098208	1.636265481215298	0.8231780861145729	2.5894728115979153	n
Cragig|Unk	Procro|Unk	Cragig_G3357	Procro_g36131	1.5829457531103808	1.5933115452336697	0.7296642929442547	2.3176015358052404	y
Cragig|Unk	Procro|Unk	Cragig_G5908	Procro_g14959	1.8008373357877383	1.5169047188331015	0.4145584699290411	1.3753980697828485	y
Cragig|Unk	Procro|Neo-3	Cragig_G17022	Procro_g27029	1.558038963227748	5.661379225527942	0.8075598625906103	5.830112360495698	y
Cragig|Unk	Procro|Neo-3	Cragig_G15607	Procro_g39978	1.60457616476445	4.957040718388378	0.8158974392262203	5.353606412147926	y
Cragig|Unk	Procro|Neo-3	Cragig_G550	Procro_g16895	1.521637121204341	4.987758309598402	0.7971139709590703	5.188730040390003	n
Cragig|Unk	Procro|Neo-3	Cragig_G23693	Procro_g3636	1.5120188374385457	4.22712764601615	0.7949871076652173	4.562547463348651	y
Cragig|Unk	Procro|Neo-3	Cragig_G5523	Procro_g9153	1.5094363484098208	3.890846420114085	0.8231780861145729	4.445394433871016	n
Cragig|Unk	Procro|Neo-3	Cragig_G30343	Procro_g28818	1.5531943580032814	3.340962774032314	0.7571023682072648	3.7053779550426253	y
Cragig|Unk	Procro|Neo-3	Cragig_G3773	Procro_g21457	1.5314952395884316	2.792446056843734	0.8148184505817557	3.523227147565325	y
Cragig|Unk	Procro|Neo-3	Cragig_G3357	Procro_g36131	1.5829457531103808	3.224562148680752	0.7296642929442547	3.5078668539843445	y
Cragig|Unk	Procro|Neo-3	Cragig_G827	Procro_g41170	1.5398644892522817	2.4285482680656343	0.826934989120422	3.2816193602980346	y
Cragig|Unk	Procro|Neo-3	Cragig_G10233	Procro_g12653	1.6803595028542058	2.19403638105065	0.7811134432071509	3.0263427092245347	n
Cragig|Unk	Procro|Neo-3	Cragig_G27814	Procro_g17060	1.5555520411133594	2.203256378401321	0.7922565618346222	2.9779406350397313	y
Cragig|Unk	Procro|Neo-3	Cragig_G21419	Procro_g29858	1.5299742610558509	2.458447809379834	0.7334047735775079	2.925127785499419	y
Cragig|Unk	Procro|Neo-3	Cragig_G1353	Procro_g41069	1.7685316275656988	1.6484088912272148	0.7884067848302562	2.693939088377749	y
Cragig|Unk	Procro|Neo-3	Cragig_G21353	Procro_g5704	1.5431828512648311	1.681294496606739	0.0	0.32244773478715705	y
Cragig|Unk	Procro|Neo-2	Cragig_G17022	Procro_g27029	1.558038963227748	5.842998772240634	0.8075598625906103	5.976781016682769	y
Cragig|Unk	Procro|Neo-2	Cragig_G550	Procro_g16895	1.521637121204341	5.838459675539506	0.7971139709590703	5.866835984295622	n
Cragig|Unk	Procro|Neo-2	Cragig_G15607	Procro_g39978	1.60457616476445	4.768152406160368	0.8158974392262203	5.199492921901329	y
Cragig|Unk	Procro|Neo-2	Cragig_G23693	Procro_g3636	1.5120188374385457	4.287748968645535	0.7949871076652173	4.610740633288626	y
Cragig|Unk	Procro|Neo-2	Cragig_G5523	Procro_g9153	1.5094363484098208	3.686351494985275	0.8231780861145729	4.277058692783339	n
Cragig|Unk	Procro|Neo-2	Cragig_G30343	Procro_g28818	1.5531943580032814	3.4665643145210225	0.7571023682072648	3.800471178797107	y
Cragig|Unk	Procro|Neo-2	Cragig_G3357	Procro_g36131	1.5829457531103808	3.246770040437702	0.7296642929442547	3.524071159620962	y
Cragig|Unk	Procro|Neo-2	Cragig_G3773	Procro_g21457	1.5314952395884316	2.413787442938744	0.8148184505817557	3.214689122483826	y
Cragig|Unk	Procro|Neo-2	Cragig_G10233	Procro_g12653	1.6803595028542058	2.2057406696613286	0.7811134432071509	3.0354850864015117	n
Cragig|Unk	Procro|Neo-2	Cragig_G827	Procro_g41170	1.5398644892522817	2.04091847382584	0.826934989120422	2.9610747206155987	y
Cragig|Unk	Procro|Neo-2	Cragig_G27814	Procro_g17060	1.5555520411133594	2.1625509199021637	0.7922565618346222	2.9456914684412867	y
Cragig|Unk	Procro|Neo-2	Cragig_G21419	Procro_g29858	1.5299742610558509	2.07784262025126	0.7334047735775079	2.6459901229441525	y
Cragig|Unk	Procro|Neo-2	Cragig_G1353	Procro_g41069	1.7685316275656988	1.5767183017217046	0.7884067848302562	2.6374177412031234	y
Cragig|Unk	Procro|Neo-2	Cragig_G21353	Procro_g5704	1.5431828512648311	1.821564194352086	0.0	0.33647470456169165	y
Cragig|Unk	Procro|Neo-1	Cragig_G17022	Procro_g27029	1.558038963227748	4.660912171818528	0.8075598625906103	5.02217532407569	y
Cragig|Unk	Procro|Neo-1	Cragig_G550	Procro_g16895	1.521637121204341	4.059491632380423	0.7971139709590703	4.448795703203798	n
Cragig|Unk	Procro|Neo-1	Cragig_G23693	Procro_g3636	1.5120188374385457	3.5644675577874434	0.7949871076652173	4.035741236442534	y
Cragig|Unk	Procro|Neo-1	Cragig_G5523	Procro_g9153	1.5094363484098208	3.359067609676325	0.8231780861145729	4.007645770458575	n
Cragig|Unk	Procro|Neo-1	Cragig_G15607	Procro_g39978	1.60457616476445	3.2044606750610605	0.8158974392262203	3.9236808427581895	y
Cragig|Unk	Procro|Neo-1	Cragig_G3357	Procro_g36131	1.5829457531103808	2.979050746819518	0.7296642929442547	3.3287259505355147	y
Cragig|Unk	Procro|Neo-1	Cragig_G30343	Procro_g28818	1.5531943580032814	2.704290075929868	0.7571023682072648	3.223351547536354	y
Cragig|Unk	Procro|Neo-1	Cragig_G3773	Procro_g21457	1.5314952395884316	1.973803184535446	0.8148184505817557	2.856181830771288	y
Cragig|Unk	Procro|Neo-1	Cragig_G27814	Procro_g17060	1.5555520411133594	1.9986988414890563	0.7922565618346222	2.8158785841482614	y
Cragig|Unk	Procro|Neo-1	Cragig_G10233	Procro_g12653	1.6803595028542058	1.9177473368562648	0.7811134432071509	2.8105296225934464	n
Cragig|Unk	Procro|Neo-1	Cragig_G827	Procro_g41170	1.5398644892522817	1.675334340364481	0.826934989120422	2.658760409189131	y
Cragig|Unk	Procro|Neo-1	Cragig_G21419	Procro_g29858	1.5299742610558509	1.7595273221302596	0.7334047735775079	2.4125361637994627	y
Cragig|Unk	Procro|Neo-1	Cragig_G21353	Procro_g5704	1.5431828512648311	1.8077763420593291	0.0	0.33509591933241606	y
Cragig|Unk	Procro|Myo-p1	Cragig_G17022	Procro_g27029	1.558038963227748	5.043001350784522	0.8075598625906103	5.330735208938828	y
Cragig|Unk	Procro|Myo-p1	Cragig_G550	Procro_g16895	1.521637121204341	4.358713965479351	0.7971139709590703	4.687310005339922	n
Cragig|Unk	Procro|Myo-p1	Cragig_G15607	Procro_g39978	1.60457616476445	3.7130064145669	0.8158974392262203	4.338602009350407	y
Cragig|Unk	Procro|Myo-p1	Cragig_G23693	Procro_g3636	1.5120188374385457	3.73920596827985	0.7949871076652173	4.17465601999791	y
Cragig|Unk	Procro|Myo-p1	Cragig_G5523	Procro_g9153	1.5094363484098208	3.072121697341242	0.8231780861145729	3.7714381835241824	n
Cragig|Unk	Procro|Myo-p1	Cragig_G30343	Procro_g28818	1.5531943580032814	2.796326894440871	0.7571023682072648	3.293032840793296	y
Cragig|Unk	Procro|Myo-p1	Cragig_G3357	Procro_g36131	1.5829457531103808	2.690522655957562	0.7296642929442547	3.11819730512217	y
Cragig|Unk	Procro|Myo-p1	Cragig_G10233	Procro_g12653	1.6803595028542058	2.2543301151176136	0.7811134432071509	3.073438955445397	n
Cragig|Unk	Procro|Myo-p1	Cragig_G827	Procro_g41170	1.5398644892522817	2.1572644006234096	0.826934989120422	3.057285238326153	y
Cragig|Unk	Procro|Myo-p1	Cragig_G3773	Procro_g21457	1.5314952395884316	2.103507526580381	0.8148184505817557	2.9618673217900686	y
Cragig|Unk	Procro|Myo-p1	Cragig_G27814	Procro_g17060	1.5555520411133594	1.8829004169520351	0.7922565618346222	2.724136522458695	y
Cragig|Unk	Procro|Myo-p1	Cragig_G1353	Procro_g41069	1.7685316275656988	1.6460505071631175	0.7884067848302562	2.6920797223803787	y
Cragig|Unk	Procro|Myo-p1	Cragig_G21419	Procro_g29858	1.5299742610558509	1.9747424984582576	0.7334047735775079	2.5703760014647425	y
Cragig|Unk	Procro|Myo-p1	Cragig_G22516	Procro_g18099	1.5384983643688763	2.7237693004408943	0.3862043155657338	1.6461061662458158	y
Cragig|Unk	Procro|Myo-p1	Cragig_G31264	Procro_g41744	1.9377279397853369	1.9194572536933676	0.17262645184067626	0.6658521940426211	n
Cragig|Unk	Procro|Myo-p1	Cragig_G21353	Procro_g5704	1.5431828512648311	1.8393323205450025	0.0	0.3382515171809834	y
Cragig|Unk	Procro|Gut-unk-2	Cragig_G29501	Procro_g31220	2.1942342756374105	2.069283472116722	0.674399946385584	2.875316140499373	n
Cragig|Unk	Procro|Gut-unk-2	Cragig_G17022	Procro_g27029	1.558038963227748	1.903069150611402	0.8075598625906103	2.7950519928231903	y
Cragig|Unk	Procro|Gut-unk-2	Cragig_G550	Procro_g16895	1.521637121204341	1.799058849256155	0.7971139709590703	2.64697315136155	n
Cragig|Unk	Procro|Gut-unk-2	Cragig_G5523	Procro_g9153	1.5094363484098208	1.509861218009804	0.8231780861145729	2.4854195921356945	n
Cragig|Unk	Procro|Gut-unk-2	Cragig_G22516	Procro_g18099	1.5384983643688763	3.26240162760085	0.3862043155657338	1.854128295498205	y
Cragig|Unk	Procro|Gut-unk-2	Cragig_G17021	Procro_g24328	1.5355572629866734	1.824850553826332	0.511314456556059	1.7182250966604742	n
Cragig|Unk	Procro|Gut-unk-2	Cragig_G14845	Procro_g25811	2.04545725734428	1.7824045985243675	0.40699867614584984	1.5579347078077355	y
Cragig|Unk	Procro|Gut-unk-2	Cragig_G5908	Procro_g14959	1.8008373357877383	1.655725497078774	0.4145584699290411	1.4329473992067332	y
Cragig|Unk	Procro|Gut-unk-2	Cragig_G14738	Procro_g4305	1.9009895594635264	1.651548542652633	0.3630132461415269	1.2896183884906463	n
Cragig|Unk	Procro|Gut-unk-2	Cragig_G34908	Procro_g41601	1.8576292063295277	2.1424619942429395	0.2007615199602286	0.8030643894064642	n
Cragig|Unk	Procro|Gut-unk-2	Cragig_G32504	Procro_g5642	2.09205779324367	1.9373168397219676	0.19751576253981357	0.7958650031887894	n
Cragig|Unk	Procro|Gut-unk-2	Cragig_G31264	Procro_g41744	1.9377279397853369	1.802388866601323	0.17262645184067626	0.6456430937562107	n
Cragig|Unk	Procro|Gut-unk-2	Cragig_G6837	Procro_g25836	1.5318129847722102	3.479580335596262	0.0	0.5011393320368474	y
Cragig|Unk	Procro|Gut-unk-1	Cragig_G29501	Procro_g31220	2.1942342756374105	2.3168220251634084	0.674399946385584	3.042256127402423	n
Cragig|Unk	Procro|Gut-unk-1	Cragig_G2486	Procro_g9254	1.746720259958194	1.6409248193272985	0.841118748944674	2.8494117909571948	n
Cragig|Unk	Procro|Gut-unk-1	Cragig_G17022	Procro_g27029	1.558038963227748	1.9053441310263173	0.8075598625906103	2.796889175694455	y
Cragig|Unk	Procro|Gut-unk-1	Cragig_G14411	Procro_g35376	1.6205934973909613	2.176640906003023	0.7108968403791116	2.6994419395516442	y
Cragig|Unk	Procro|Gut-unk-1	Cragig_G35179	Procro_g40019	1.579686017566847	1.6348706560825843	0.8214347779252265	2.6405486473472757	n
Cragig|Unk	Procro|Gut-unk-1	Cragig_G17021	Procro_g24328	1.5355572629866734	3.156417284635077	0.511314456556059	2.399074415992076	n
Cragig|Unk	Procro|Gut-unk-1	Cragig_G20778	Procro_g19581	1.5375811366029404	2.589538186635576	0.3591649876421307	1.4823167607285603	n
Cragig|Unk	Procro|Gut-unk-1	Cragig_G5908	Procro_g14959	1.8008373357877383	1.7600178309119705	0.4145584699290411	1.476182669545952	y
Cragig|Unk	Procro|Gut-unk-1	Cragig_G22523	Procro_g38011	1.6971588860737008	2.005757215060052	0.39728457168607173	1.4711114372283818	y
Cragig|Unk	Procro|Gut-unk-1	Cragig_G26196	Procro_g40668	1.7276500240819397	2.10614201152098	0.34041785898938054	1.305091276570485	y
Cragig|Unk	Procro|Gut-unk-1	Cragig_G22516	Procro_g18099	1.5384983643688763	1.682610039355568	0.3862043155657338	1.2440059664234324	y
Cragig|Unk	Procro|Gut-unk-1	Cragig_G25627	Procro_g38094	1.6346134963123768	2.508417705567712	0.2581840169961542	1.0696644382418057	y
Cragig|Unk	Procro|Gut-unk-1	Cragig_G32504	Procro_g5642	2.09205779324367	1.6481768010095093	0.19751576253981357	0.738755287961707	n
Cragig|Unk	Procro|Gut-unk-1	Cragig_G31264	Procro_g41744	1.9377279397853369	1.682233681588461	0.17262645184067626	0.6249011304971802	n
Cragig|Unk	Procro|Gut-unk-1	Cragig_G15010	Procro_g36485	2.148918117402319	1.5015173471296288	0.1577683167818508	0.5759230587599791	n
Cragig|Unk	Procro|Gut-unk-1	Cragig_G6837	Procro_g25836	1.5318129847722102	1.6066719338837945	0.0	0.3138484918656005	y
Cragig|Unk	Procro|Cilia-p2	Cragig_G35179	Procro_g40019	1.579686017566847	2.495996145815744	0.8214347779252265	3.3479070727719846	n
Cragig|Unk	Procro|Cilia-p2	Cragig_G13256	Procro_g21207	1.8779723256184917	1.9101717977776416	0.8436852552724718	3.196001341756381	y
Cragig|Unk	Procro|Cilia-p2	Cragig_G22593	Procro_g38761	1.6530467109145677	1.7747480845656085	0.8148337795419632	2.7930829886953834	n
Cragig|Unk	Procro|Cilia-p2	Cragig_G13591	Procro_g37349	1.5818817099010958	1.5895915848691655	0.8632506348919137	2.7377763352531774	n
Cragig|Unk	Procro|Cilia-p2	Cragig_G29057	Procro_g22559	1.6253519168514152	1.6074439464286443	0.8337327120875512	2.6952876627179	y
Cragig|Unk	Procro|Cilia-p2	Cragig_G31967	Procro_g14566	1.5040401452479384	1.6443489717744972	0.8492860604567934	2.673882989981027	y
Cragig|Unk	Procro|Cilia-p2	Cragig_G15607	Procro_g39978	1.60457616476445	1.6118768010531546	0.8158974392262203	2.624295738202165	y
Cragig|Unk	Procro|Cilia-p2	Cragig_G23693	Procro_g3636	1.5120188374385457	1.7487032272571812	0.7949871076652173	2.592232003112611	y
Cragig|Unk	Procro|Cilia-p2	Cragig_G3363	Procro_g31783	1.5242288907551853	1.547234310944239	0.8424342130415214	2.5875056852096465	y
Cragig|Unk	Procro|Cilia-p2	Cragig_G18044	Procro_g36525	1.5470691992728738	2.020709503832263	0.7194850283430116	2.566963361325193	y
Cragig|Unk	Procro|Cilia-p2	Cragig_G3357	Procro_g36131	1.5829457531103808	1.7606418187357733	0.7296642929442547	2.439696461508321	y
Cragig|Unk	Procro|Cilia-p2	Cragig_G21847	Procro_g11619	1.538358370106118	1.7398708932466762	0.0069967484597029846	0.32782292633527943	y
Cragig|Unk	Procro|Cilia-3	Cragig_G29501	Procro_g31220	2.1942342756374105	6.296680438233404	0.674399946385584	5.726272427799045	n
Cragig|Unk	Procro|Cilia-3	Cragig_G35179	Procro_g40019	1.579686017566847	3.2612689109198483	0.8214347779252265	3.976528736627499	n
Cragig|Unk	Procro|Cilia-3	Cragig_G13256	Procro_g21207	1.8779723256184917	2.6629654843914063	0.8436852552724718	3.8311222754146197	y
Cragig|Unk	Procro|Cilia-3	Cragig_G29057	Procro_g22559	1.6253519168514152	2.596845148252209	0.8337327120875512	3.5201838100569436	y
Cragig|Unk	Procro|Cilia-3	Cragig_G31967	Procro_g14566	1.5040401452479384	2.509749091815664	0.8492860604567934	3.4088552486496257	y
Cragig|Unk	Procro|Cilia-3	Cragig_G13591	Procro_g37349	1.5818817099010958	2.3376309103940662	0.8632506348919137	3.383521757936667	n
Cragig|Unk	Procro|Cilia-3	Cragig_G2486	Procro_g9254	1.746720259958194	2.026155821094037	0.841118748944674	3.173436809217937	n
Cragig|Unk	Procro|Cilia-3	Cragig_G735	Procro_g20028	1.596826520870532	2.1165039571162136	0.8306370760450688	3.084429970623948	y
Cragig|Unk	Procro|Cilia-3	Cragig_G14411	Procro_g35376	1.6205934973909613	2.5624918404672177	0.7108968403791116	2.973742149719568	y
Cragig|Unk	Procro|Cilia-3	Cragig_G4642	Procro_g42258	1.6194360260710954	1.877141517522338	0.8263705541663917	2.8894687223850664	y
Cragig|Unk	Procro|Cilia-3	Cragig_G23682	Procro_g32235	1.7017041384955225	1.924160369262412	0.7850745599474049	2.8465739828569743	n
Cragig|Unk	Procro|Cilia-3	Cragig_G3363	Procro_g31783	1.5242288907551853	1.801071360637034	0.8424342130415214	2.801346700408378	y
Cragig|Unk	Procro|Cilia-3	Cragig_G6042	Procro_g6864	1.589316524089171	1.888356594312229	0.7998887153809506	2.7817514831929606	n
Cragig|Unk	Procro|Cilia-3	Cragig_G22593	Procro_g38761	1.6530467109145677	1.5425728358328743	0.8148337795419632	2.6038987532543936	n
Cragig|Unk	Procro|Cilia-3	Cragig_G17021	Procro_g24328	1.5355572629866734	2.802308090327452	0.511314456556059	2.2180132657431684	n
Cragig|Unk	Procro|Cilia-3	Cragig_G29631	Procro_g40874	1.505269217840053	1.7320039008003234	0.048664827240204434	0.3237273118640377	y
Cragig|Unk	Procro|80	Cragig_G35179	Procro_g40019	1.579686017566847	8.56747557577159	0.8214347779252265	8.335231429995346	n
Cragig|Unk	Procro|80	Cragig_G13256	Procro_g21207	1.8779723256184917	4.371111264926683	0.8436852552724718	5.27225968430812	y
Cragig|Unk	Procro|80	Cragig_G29057	Procro_g22559	1.6253519168514152	3.811302600073982	0.8337327120875512	4.532716715079247	y
Cragig|Unk	Procro|80	Cragig_G31967	Procro_g14566	1.5040401452479384	3.3449714506447408	0.8492860604567934	4.118197955385002	y
Cragig|Unk	Procro|80	Cragig_G13591	Procro_g37349	1.5818817099010958	2.7814728452849447	0.8632506348919137	3.766668590022873	n
Cragig|Unk	Procro|80	Cragig_G735	Procro_g20028	1.596826520870532	2.87046300932654	0.8306370760450688	3.710696313209645	y
Cragig|Unk	Procro|80	Cragig_G22593	Procro_g38761	1.6530467109145677	2.613380492627729	0.8148337795419632	3.4764290034030187	n
Cragig|Unk	Procro|80	Cragig_G20358	Procro_g29623	1.607814059036007	2.4277502464737037	0.8324894798743385	3.3595648296932255	y
Cragig|Unk	Procro|80	Cragig_G3363	Procro_g31783	1.5242288907551853	2.420008452410109	0.8424342130415214	3.322760482238437	y
Cragig|Unk	Procro|80	Cragig_G30453	Procro_g24368	1.6733484954319848	2.173669936029062	0.8379596691913914	3.2236462922002844	y
