TrH2_TrispH2_004461-RA	HoiH23_PlH23_009112-RA
HoiH23_PlH23_005255	Tadh_TriadG49494
Tadh_TriadG49494	TrH2_TrispH2_000607
Tadh_TriadG49494	Hhon_g00082.t1
Tadh_TriadG58134	TrH2_TrispH2_000602
Tadh_TriadG58134	Hhon_g00086.t1
Hhon_g00086.t1	TrH2_TrispH2_000602
HoiH23_PlH23_010769	TrH2_TrispH2_000602
HoiH23_PlH23_010769	Hhon_g00086.t1
HoiH23_PlH23_010769	Tadh_TriadG58134
Hhon_g00091.t1	TrH2_TrispH2_000597
HoiH23_PlH23_002813	TrH2_TrispH2_000597
HoiH23_PlH23_002813	Hhon_g00091.t1
HoiH23_PlH23_002813	Tadh_TriadG58129
Tadh_TriadG58129	TrH2_TrispH2_000597
Tadh_TriadG58129	Hhon_g00091.t1
Tadh_TriadG64084	TrH2_TrispH2_000596
Tadh_TriadG64084	Hhon_g00092.t1
Hhon_g00092.t1	TrH2_TrispH2_000596
HoiH23_PlH23_002814	TrH2_TrispH2_000596
HoiH23_PlH23_002814	Hhon_g00092.t1
HoiH23_PlH23_002814	Tadh_TriadG64084
Hhon_g00094.t1	TrH2_TrispH2_000594
HoiH23_PlH23_002816	TrH2_TrispH2_000594
HoiH23_PlH23_002816	Hhon_g00094.t1
HoiH23_PlH23_002816	Tadh_TriadG58126
Tadh_TriadG58126	TrH2_TrispH2_000594
Tadh_TriadG58126	Hhon_g00094.t1
HoiH23_PlH23_002817	TrH2_TrispH2_000593
HoiH23_PlH23_002817	Hhon_g00095.t1
HoiH23_PlH23_002817	Tadh_TriadG58125
Tadh_TriadG58125	TrH2_TrispH2_000593
Tadh_TriadG58125	Hhon_g00095.t1
Hhon_g00095.t1	TrH2_TrispH2_000593
Hhon_g02599.t1	TrH2_TrispH2_001565
Tadh_TriadG55679	TrH2_TrispH2_001565
Tadh_TriadG55679	Hhon_g02599.t1
HoiH23_PlH23_003332	TrH2_TrispH2_001565
HoiH23_PlH23_003332	Hhon_g02599.t1
HoiH23_PlH23_003332	Tadh_TriadG55679
Tadh_TriadG61828	TrH2_TrispH2_005547
Tadh_TriadG61828	HoiH23_PlH23_004648
Tadh_TriadG61828	Hhon_g03402.t1
TrH2_TrispH2_005547	HoiH23_PlH23_004648
Hhon_g03402.t1	TrH2_TrispH2_005547
Hhon_g03402.t1	HoiH23_PlH23_004648
Tadh_TriadG58124	TrH2_TrispH2_000592
Tadh_TriadG58124	Hhon_g00096.t1
HoiH23_PlH23_002818	Tadh_TriadG58124
HoiH23_PlH23_002818	TrH2_TrispH2_000592
HoiH23_PlH23_002818	Hhon_g00096.t1
Hhon_g00096.t1	TrH2_TrispH2_000592
HoiH23_PlH23_002820	TrH2_TrispH2_000590
HoiH23_PlH23_002820	Hhon_g00098.t1
HoiH23_PlH23_002820	Tadh_TriadG36212
Tadh_TriadG36212	TrH2_TrispH2_000590
Tadh_TriadG36212	Hhon_g00098.t1
Hhon_g00098.t1	TrH2_TrispH2_000590
HoiH23_PlH23_002825	TrH2_TrispH2_000585
HoiH23_PlH23_002825	Hhon_g00103.t1
HoiH23_PlH23_002825	Tadh_TriadG58117
Hhon_g00103.t1	TrH2_TrispH2_000585
Tadh_TriadG58117	TrH2_TrispH2_000585
Tadh_TriadG58117	Hhon_g00103.t1
HoiH23_PlH23_002829	TrH2_TrispH2_000582
HoiH23_PlH23_002829	Hhon_g00106.t1
HoiH23_PlH23_002829	Tadh_TriadG58113
Tadh_TriadG58113	TrH2_TrispH2_000582
Tadh_TriadG58113	Hhon_g00106.t1
Hhon_g00106.t1	TrH2_TrispH2_000582
Tadh_TriadG58108	TrH2_TrispH2_000577
Tadh_TriadG58108	Hhon_g00111.t1
Hhon_g00111.t1	TrH2_TrispH2_000577
HoiH23_PlH23_002834	TrH2_TrispH2_000577
HoiH23_PlH23_002834	Hhon_g00111.t1
HoiH23_PlH23_002834	Tadh_TriadG58108
Hhon_g00125.t1	TrH2_TrispH2_000564
Tadh_TriadG58093	TrH2_TrispH2_000564
Tadh_TriadG58093	Hhon_g00125.t1
HoiH23_PlH23_002848	TrH2_TrispH2_000564
HoiH23_PlH23_002848	Hhon_g00125.t1
HoiH23_PlH23_002848	Tadh_TriadG58093
Hhon_g00132.t1	TrH2_TrispH2_000558
HoiH23_PlH23_008863	TrH2_TrispH2_000558
HoiH23_PlH23_008863	Hhon_g00132.t1
HoiH23_PlH23_008863	Tadh_TriadG58086
Tadh_TriadG58086	TrH2_TrispH2_000558
Tadh_TriadG58086	Hhon_g00132.t1
Tadh_TriadG58082	TrH2_TrispH2_000554
Tadh_TriadG58082	Hhon_g00137.t1
Hhon_g00137.t1	TrH2_TrispH2_000554
HoiH23_PlH23_008858	TrH2_TrispH2_000554
HoiH23_PlH23_008858	Hhon_g00137.t1
HoiH23_PlH23_008858	Tadh_TriadG58082
Hhon_g00138.t1	TrH2_TrispH2_000553
Tadh_TriadG58081	TrH2_TrispH2_000553
Tadh_TriadG58081	Hhon_g00138.t1
Hhon_g00141.t1	TrH2_TrispH2_000550
Tadh_TriadG58077	TrH2_TrispH2_000547
Tadh_TriadG58077	Hhon_g00143.t1
HoiH23_PlH23_009032	TrH2_TrispH2_000547
HoiH23_PlH23_009032	Hhon_g00143.t1
HoiH23_PlH23_009032	Tadh_TriadG58077
Hhon_g00143.t1	TrH2_TrispH2_000547
TrH2_TrispH2_000542	HoiH23_PlH23_007755
Hhon_g00149.t1	HoiH23_PlH23_007755
Hhon_g00149.t1	TrH2_TrispH2_000542
Tadh_TriadG58070	HoiH23_PlH23_007755
Tadh_TriadG58070	TrH2_TrispH2_000542
Tadh_TriadG58070	Hhon_g00149.t1
TrH2_TrispH2_000539	HoiH23_PlH23_007758
Hhon_g00152.t1	HoiH23_PlH23_007758
Hhon_g00152.t1	TrH2_TrispH2_000539
Tadh_TriadG58067	HoiH23_PlH23_007758
Tadh_TriadG58067	TrH2_TrispH2_000539
Tadh_TriadG58067	Hhon_g00152.t1
Hhon_g00155.t1	HoiH23_PlH23_007761
Hhon_g00155.t1	TrH2_TrispH2_000535
Tadh_TriadG64079	HoiH23_PlH23_007761
Tadh_TriadG64079	TrH2_TrispH2_000535
Tadh_TriadG64079	Hhon_g00155.t1
TrH2_TrispH2_000535	HoiH23_PlH23_007761
Hhon_g00162.t1	TrH2_TrispH2_000528
Hhon_g00164.t1	HoiH23_PlH23_007769
Hhon_g00164.t1	TrH2_TrispH2_000526
Tadh_TriadG58057	HoiH23_PlH23_007769
Tadh_TriadG58057	TrH2_TrispH2_000526
Tadh_TriadG58057	Hhon_g00164.t1
TrH2_TrispH2_000526	HoiH23_PlH23_007769
TrH2_TrispH2_000522	HoiH23_PlH23_007773
Hhon_g00167.t1	HoiH23_PlH23_007773
Hhon_g00167.t1	TrH2_TrispH2_000522
Tadh_TriadG58053	HoiH23_PlH23_007773
Tadh_TriadG58053	TrH2_TrispH2_000522
Tadh_TriadG58053	Hhon_g00167.t1
Hhon_g00168.t1	TrH2_TrispH2_000521
HoiH23_PlH23_010059	TrH2_TrispH2_000521
HoiH23_PlH23_010059	Hhon_g00168.t1
HoiH23_PlH23_010059	Tadh_TriadG58052
Tadh_TriadG58052	TrH2_TrispH2_000521
Tadh_TriadG58052	Hhon_g00168.t1
Hhon_g00169.t1	TrH2_TrispH2_000520
Tadh_TriadG58051	TrH2_TrispH2_000520
Tadh_TriadG58051	Hhon_g00169.t1
HoiH23_PlH23_010060	TrH2_TrispH2_000520
HoiH23_PlH23_010060	Hhon_g00169.t1
HoiH23_PlH23_010060	Tadh_TriadG58051
HoiH23_PlH23_009959	TrH2_TrispH2_000511
Tadh_wf_g6913	TrH2_TrispH2_000511
Tadh_wf_g6913	HoiH23_PlH23_009959
Tadh_wf_g6913	Hhon_g00176.t1
Hhon_g00176.t1	TrH2_TrispH2_000511
Hhon_g00176.t1	HoiH23_PlH23_009959
Tadh_TriadG58040	TrH2_TrispH2_000508
Tadh_TriadG58040	HoiH23_PlH23_009962
Tadh_TriadG58040	Hhon_g00179.t1
Hhon_g00179.t1	TrH2_TrispH2_000508
Hhon_g00179.t1	HoiH23_PlH23_009962
HoiH23_PlH23_009962	TrH2_TrispH2_000508
Tadh_TriadG58032	TrH2_TrispH2_000502
Tadh_TriadG58032	Hhon_g00186.t1
Hhon_g00186.t1	TrH2_TrispH2_000502
HoiH23_PlH23_003157	TrH2_TrispH2_000502
HoiH23_PlH23_003157	Hhon_g00186.t1
HoiH23_PlH23_003157	Tadh_TriadG58032
HoiH23_PlH23_003158	TrH2_TrispH2_000501
HoiH23_PlH23_003158	Hhon_g00187.t1
HoiH23_PlH23_003158	Tadh_TriadG64074
Hhon_g00187.t1	TrH2_TrispH2_000501
Tadh_TriadG64074	TrH2_TrispH2_000501
Tadh_TriadG64074	Hhon_g00187.t1
Hhon_g00188.t1	TrH2_TrispH2_000500
HoiH23_PlH23_003159	TrH2_TrispH2_000500
HoiH23_PlH23_003159	Hhon_g00188.t1
HoiH23_PlH23_003159	Tadh_TriadG58030
Tadh_TriadG58030	TrH2_TrispH2_000500
Tadh_TriadG58030	Hhon_g00188.t1
Hhon_g00197.t1	TrH2_TrispH2_000488
HoiH23_PlH23_003169	TrH2_TrispH2_000488
HoiH23_PlH23_003169	Hhon_g00197.t1
HoiH23_PlH23_003169	Tadh_TriadG58019
Tadh_TriadG58019	TrH2_TrispH2_000488
Tadh_TriadG58019	Hhon_g00197.t1
Hhon_g00199.t1	TrH2_TrispH2_000485
HoiH23_PlH23_003171	TrH2_TrispH2_000485
HoiH23_PlH23_003171	Hhon_g00199.t1
HoiH23_PlH23_003171	Tadh_TriadG58016
Tadh_TriadG58016	TrH2_TrispH2_000485
Tadh_TriadG58016	Hhon_g00199.t1
Hhon_g00200.t1	TrH2_TrispH2_000484
Tadh_TriadG58015	TrH2_TrispH2_000484
Tadh_TriadG58015	Hhon_g00200.t1
HoiH23_PlH23_003172	TrH2_TrispH2_000484
HoiH23_PlH23_003172	Hhon_g00200.t1
HoiH23_PlH23_003172	Tadh_TriadG58015
Hhon_g00201.t1	TrH2_TrispH2_000482
HoiH23_PlH23_003173	TrH2_TrispH2_000482
HoiH23_PlH23_003173	Hhon_g00201.t1
HoiH23_PlH23_003173	Tadh_TriadG27645
Tadh_TriadG27645	TrH2_TrispH2_000482
Tadh_TriadG27645	Hhon_g00201.t1
Hhon_g00202.t1	TrH2_TrispH2_000483
HoiH23_PlH23_003174	TrH2_TrispH2_000483
HoiH23_PlH23_003174	Hhon_g00202.t1
HoiH23_PlH23_003174	Tadh_TriadG58013
Tadh_TriadG58013	TrH2_TrispH2_000483
Tadh_TriadG58013	Hhon_g00202.t1
Tadh_TriadG28009	TrH2_TrispH2_000481
Tadh_TriadG28009	Hhon_g00203.t1
HoiH23_PlH23_003175	TrH2_TrispH2_000481
HoiH23_PlH23_003175	Hhon_g00203.t1
HoiH23_PlH23_003175	Tadh_TriadG28009
Hhon_g00203.t1	TrH2_TrispH2_000481
HoiH23_PlH23_003183	TrH2_TrispH2_000474
HoiH23_PlH23_003183	Hhon_g00211.t1
HoiH23_PlH23_003183	Tadh_TriadG58005
Tadh_TriadG58005	TrH2_TrispH2_000474
Tadh_TriadG58005	Hhon_g00211.t1
Hhon_g00211.t1	TrH2_TrispH2_000474
HoiH23_PlH23_003186	TrH2_TrispH2_000472
HoiH23_PlH23_003186	Hhon_g00214.t1
HoiH23_PlH23_003186	Tadh_TriadG58003
Hhon_g00214.t1	TrH2_TrispH2_000472
Tadh_TriadG58003	TrH2_TrispH2_000472
Tadh_TriadG58003	Hhon_g00214.t1
Tadh_TriadG58001	TrH2_TrispH2_000470
Tadh_TriadG58001	Hhon_g00218.t1
Hhon_g00218.t1	TrH2_TrispH2_000470
HoiH23_PlH23_003189	TrH2_TrispH2_000470
HoiH23_PlH23_003189	Hhon_g00218.t1
HoiH23_PlH23_003189	Tadh_TriadG58001
HoiH23_PlH23_003190	TrH2_TrispH2_000468
HoiH23_PlH23_003190	Hhon_g00219.t1
HoiH23_PlH23_003190	Tadh_wf_g6870
Tadh_wf_g6870	TrH2_TrispH2_000468
Tadh_wf_g6870	Hhon_g00219.t1
Hhon_g00219.t1	TrH2_TrispH2_000468
Hhon_g00225.t1	TrH2_TrispH2_006472
Tadh_TriadG57993	TrH2_TrispH2_006472
Tadh_TriadG57993	Hhon_g00225.t1
HoiH23_PlH23_003196	TrH2_TrispH2_006472
HoiH23_PlH23_003196	Hhon_g00225.t1
HoiH23_PlH23_003196	Tadh_TriadG57993
Tadh_TriadG27741	TrH2_TrispH2_006477
Tadh_TriadG27741	Hhon_g00230.t1
Hhon_g00230.t1	TrH2_TrispH2_006477
HoiH23_PlH23_003201	TrH2_TrispH2_006477
HoiH23_PlH23_003201	Hhon_g00230.t1
HoiH23_PlH23_003201	Tadh_TriadG27741
Hhon_g00232.t1	TrH2_TrispH2_006479
Tadh_TriadG57985	TrH2_TrispH2_006479
Tadh_TriadG57985	Hhon_g00232.t1
HoiH23_PlH23_003202	TrH2_TrispH2_006479
HoiH23_PlH23_003202	Hhon_g00232.t1
HoiH23_PlH23_003202	Tadh_TriadG57985
Hhon_g00234.t1	TrH2_TrispH2_006482
Tadh_TriadG57981	TrH2_TrispH2_006482
Tadh_TriadG57981	Hhon_g00234.t1
HoiH23_PlH23_003204	TrH2_TrispH2_006482
HoiH23_PlH23_003204	Hhon_g00234.t1
HoiH23_PlH23_003204	Tadh_TriadG57981
HoiH23_PlH23_003206	TrH2_TrispH2_006484
HoiH23_PlH23_003206	Hhon_g00236.t1
HoiH23_PlH23_003206	Tadh_TriadG57979
Hhon_g00236.t1	TrH2_TrispH2_006484
Tadh_TriadG57979	TrH2_TrispH2_006484
Tadh_TriadG57979	Hhon_g00236.t1
Hhon_g00237.t1	HoiH23_PlH23_006137
Hhon_g00237.t1	TrH2_TrispH2_006485
TrH2_TrispH2_006485	HoiH23_PlH23_006137
Tadh_TriadG57978	HoiH23_PlH23_006137
Tadh_TriadG57978	TrH2_TrispH2_006485
Tadh_TriadG57978	Hhon_g00237.t1
Tadh_TriadG57976	HoiH23_PlH23_006135
Tadh_TriadG57976	TrH2_TrispH2_006487
Tadh_TriadG57976	Hhon_g00239.t1
Hhon_g00239.t1	HoiH23_PlH23_006135
Hhon_g00239.t1	TrH2_TrispH2_006487
TrH2_TrispH2_006487	HoiH23_PlH23_006135
Tadh_TriadG57975	HoiH23_PlH23_006134
Tadh_TriadG57975	TrH2_TrispH2_006488
Tadh_TriadG57975	Hhon_g00240.t1
TrH2_TrispH2_006488	HoiH23_PlH23_006134
Hhon_g00240.t1	HoiH23_PlH23_006134
Hhon_g00240.t1	TrH2_TrispH2_006488
TrH2_TrispH2_006490	HoiH23_PlH23_006132
Hhon_g00242.t1	HoiH23_PlH23_006132
Hhon_g00242.t1	TrH2_TrispH2_006490
Tadh_TriadG28071	HoiH23_PlH23_006132
Tadh_TriadG28071	TrH2_TrispH2_006490
Tadh_TriadG28071	Hhon_g00242.t1
Hhon_g00243.t1	HoiH23_PlH23_006131
Hhon_g00243.t1	TrH2_TrispH2_006492
TrH2_TrispH2_006492	HoiH23_PlH23_006131
Tadh_TriadG57972	HoiH23_PlH23_006131
Tadh_TriadG57972	TrH2_TrispH2_006492
Tadh_TriadG57972	Hhon_g00243.t1
TrH2_TrispH2_006494	HoiH23_PlH23_006129
Tadh_TriadG27697	HoiH23_PlH23_006129
Tadh_TriadG27697	TrH2_TrispH2_006494
Tadh_TriadG27697	Hhon_g00245.t1
Hhon_g00245.t1	HoiH23_PlH23_006129
Hhon_g00245.t1	TrH2_TrispH2_006494
Hhon_g00247.t1	HoiH23_PlH23_006127
Hhon_g00247.t1	TrH2_TrispH2_006496
Tadh_TriadG57968	HoiH23_PlH23_006127
Tadh_TriadG57968	TrH2_TrispH2_006496
Tadh_TriadG57968	Hhon_g00247.t1
TrH2_TrispH2_006496	HoiH23_PlH23_006127
TrH2_TrispH2_006502	HoiH23_PlH23_006121
Tadh_TriadG57963	HoiH23_PlH23_006121
Tadh_TriadG57963	TrH2_TrispH2_006502
Tadh_TriadG57963	Hhon_g00252.t1
Hhon_g00252.t1	HoiH23_PlH23_006121
Hhon_g00252.t1	TrH2_TrispH2_006502
TrH2_TrispH2_006503	HoiH23_PlH23_006120
Tadh_TriadG57962	HoiH23_PlH23_006120
Tadh_TriadG57962	TrH2_TrispH2_006503
Tadh_TriadG57962	Hhon_g00253.t1
Hhon_g00253.t1	HoiH23_PlH23_006120
Hhon_g00253.t1	TrH2_TrispH2_006503
Tadh_TriadG57961	HoiH23_PlH23_006119
Tadh_TriadG57961	TrH2_TrispH2_006504
Tadh_TriadG57961	Hhon_g00254.t1
TrH2_TrispH2_006504	HoiH23_PlH23_006119
Hhon_g00254.t1	HoiH23_PlH23_006119
Hhon_g00254.t1	TrH2_TrispH2_006504
Hhon_g00256.t1	HoiH23_PlH23_006117
Hhon_g00256.t1	TrH2_TrispH2_006506
Tadh_TriadG57959	HoiH23_PlH23_006117
Tadh_TriadG57959	TrH2_TrispH2_006506
Tadh_TriadG57959	Hhon_g00256.t1
TrH2_TrispH2_006506	HoiH23_PlH23_006117
Tadh_TriadG28077	HoiH23_PlH23_001117
Tadh_TriadG28077	TrH2_TrispH2_006510
Tadh_TriadG28077	Hhon_g00259.t1
TrH2_TrispH2_006510	HoiH23_PlH23_001117
Hhon_g00259.t1	HoiH23_PlH23_001117
Hhon_g00259.t1	TrH2_TrispH2_006510
Tadh_TriadG64068	TrH2_TrispH2_001492
Tadh_TriadG64068	HoiH23_PlH23_001115
Tadh_TriadG64068	Hhon_g00261.t1
HoiH23_PlH23_001115	TrH2_TrispH2_001492
Hhon_g00261.t1	TrH2_TrispH2_001492
Hhon_g00261.t1	HoiH23_PlH23_001115
Hhon_g00262.t1	TrH2_TrispH2_001491
Hhon_g00262.t1	HoiH23_PlH23_001114
HoiH23_PlH23_001114	TrH2_TrispH2_001491
Tadh_TriadG57950	TrH2_TrispH2_001491
Tadh_TriadG57950	HoiH23_PlH23_001114
Tadh_TriadG57950	Hhon_g00262.t1
Hhon_g00263.t1	TrH2_TrispH2_001489
Hhon_g00263.t1	HoiH23_PlH23_001112
Tadh_TriadG57948	TrH2_TrispH2_001489
Tadh_TriadG57948	HoiH23_PlH23_001112
Tadh_TriadG57948	Hhon_g00263.t1
HoiH23_PlH23_001112	TrH2_TrispH2_001489
HoiH23_PlH23_001104	TrH2_TrispH2_001481
Tadh_TriadG57940	TrH2_TrispH2_001481
Tadh_TriadG57940	HoiH23_PlH23_001104
Tadh_TriadG57940	Hhon_g00271.t1
Hhon_g00271.t1	TrH2_TrispH2_001481
Hhon_g00271.t1	HoiH23_PlH23_001104
Tadh_TriadG50473	TrH2_TrispH2_001480
Tadh_TriadG50473	HoiH23_PlH23_001103
Tadh_TriadG50473	Hhon_g00272.t1
Hhon_g00272.t1	TrH2_TrispH2_001480
Hhon_g00272.t1	HoiH23_PlH23_001103
HoiH23_PlH23_001103	TrH2_TrispH2_001480
Hhon_g00282.t1	TrH2_TrispH2_001472
Tadh_TriadG57928	TrH2_TrispH2_001470
Tadh_TriadG57928	HoiH23_PlH23_001094
Tadh_TriadG57928	Hhon_g00283.t1
HoiH23_PlH23_001094	TrH2_TrispH2_001470
Hhon_g00283.t1	TrH2_TrispH2_001470
Hhon_g00283.t1	HoiH23_PlH23_001094
Hhon_g00284.t1	TrH2_TrispH2_001468
Hhon_g00284.t1	HoiH23_PlH23_001093
Tadh_TriadG57927	TrH2_TrispH2_001468
Tadh_TriadG57927	HoiH23_PlH23_001093
Tadh_TriadG57927	Hhon_g00284.t1
HoiH23_PlH23_001093	TrH2_TrispH2_001468
Tadh_TriadG51212	TrH2_TrispH2_011444
Tadh_TriadG51212	Hhon_g00297.t1
Tadh_TriadG51212	HoiH23_PlH23_008711
