Cragig_G12931	Procro_g24553
Cragig_G6019	Procro_g18634
Cragig_G6019	Procro_g38160
Cragig_G6019	Procro_g34476
Cragig_G6019	Procro_g11452
Cragig_G6019	Procro_g35420
Cragig_G6019	Procro_g30718
Cragig_G6019	Procro_g36444
Cragig_G6019	Procro_g11230
Cragig_G6019	Procro_g32637
Cragig_G6019	Procro_g38398
Procro_g15211	Cragig_G34127
Procro_g15211	Cragig_G6019
Procro_g15211	Cragig_G12522
Procro_g15211	Cragig_G289
Procro_g15211	Cragig_G16018
Procro_g7252	Cragig_G34127
Procro_g7252	Cragig_G6019
Procro_g7252	Cragig_G12522
Procro_g9053	Cragig_G12522
Procro_g9053	Cragig_G289
Procro_g9053	Cragig_G16018
Cragig_G12522	Procro_g21150
Cragig_G12522	Procro_g37513
Cragig_G12522	Procro_g7795
Cragig_G12522	Procro_g36796
Cragig_G12522	Procro_g31208
Cragig_G12522	Procro_g25051
Cragig_G12522	Procro_g35220
Cragig_G12522	Procro_g18634
Cragig_G12522	Procro_g38160
Cragig_G12522	Procro_g34476
Cragig_G12522	Procro_g22031
Cragig_G12522	Procro_g2840
Cragig_G12522	Procro_g35420
Cragig_G12522	Procro_g11452
Cragig_G12522	Procro_g38398
Cragig_G12522	Procro_g30718
Cragig_G12522	Procro_g36444
Cragig_G12522	Procro_g11230
Cragig_G12522	Procro_g32637
Cragig_G12522	Procro_g35601
Cragig_G30038	Procro_g35420
Cragig_G30038	Procro_g32639
Cragig_G30038	Procro_g29233
Cragig_G30038	Procro_g40471
Cragig_G30038	Procro_g20660
Cragig_G30038	Procro_g21271
Cragig_G30038	Procro_g22031
Cragig_G30038	Procro_g2840
Cragig_G30038	Procro_g24850
Procro_g9007	Cragig_G34127
Procro_g9007	Cragig_G12522
Cragig_G34621	Procro_g11461
Cragig_G17857	Procro_g11466
Cragig_G3898	Procro_g11468
Cragig_G21185	Procro_g11480
Cragig_G21926	Procro_g11482
Cragig_G22844	Procro_g11488
Cragig_G22844	Procro_g11495
Cragig_G32268	Procro_g11514
Cragig_G15364	Procro_g11528
Cragig_G30854	Procro_g11594
Cragig_G6197	Procro_g11599
Procro_g18700	Cragig_G32432
Cragig_G32432	Procro_g11601
Cragig_G13558	Procro_g26665
Cragig_G13558	Procro_g21337
Cragig_G9879	Procro_g11610
Cragig_G9879	Procro_g23366
Cragig_G16734	Procro_g11617
Cragig_G394	Procro_g11620
Cragig_G6263	Procro_g11628
Cragig_G5445	Procro_g11679
Cragig_G17101	Procro_g11687
Cragig_G13258	Procro_g11697
Cragig_G19816	Procro_g29708
Cragig_G19816	Procro_g117
Cragig_G30182	Procro_g20684
Cragig_G30182	Procro_g11751
Procro_g14516	Cragig_G20901
Procro_g14516	Cragig_G30110
Procro_g14516	Cragig_G11760
Procro_g14516	Cragig_G32403
Procro_g14516	Cragig_G16020
Procro_g14516	Cragig_G29176
Procro_g14516	Cragig_G16002
Procro_g14516	Cragig_G15440
Procro_g14516	Cragig_G20168
Procro_g14516	Cragig_G26733
Cragig_G26733	Procro_g32794
Cragig_G26733	Procro_g42494
Cragig_G26733	Procro_g34678
Cragig_G26733	Procro_g6436
Cragig_G26733	Procro_g28482
Cragig_G26733	Procro_g30400
Cragig_G26733	Procro_g27260
Cragig_G26733	Procro_g27989
Cragig_G26733	Procro_g31990
Cragig_G26733	Procro_g32818
Cragig_G26733	Procro_g20675
Cragig_G26733	Procro_g36053
Cragig_G10673	Procro_g30673
Cragig_G10673	Procro_g24398
Cragig_G12374	Procro_g30673
Cragig_G12374	Procro_g24398
Cragig_G10322	Procro_g30673
Cragig_G10322	Procro_g24398
Cragig_G19455	Procro_g30673
Cragig_G19455	Procro_g24398
Cragig_G17551	Procro_g30673
Cragig_G17551	Procro_g24398
Cragig_G21658	Procro_g30673
Cragig_G21658	Procro_g24398
Cragig_G10673	Procro_g20803
Cragig_G12374	Procro_g20803
Cragig_G10322	Procro_g20803
Cragig_G19455	Procro_g20803
Cragig_G17551	Procro_g20803
Cragig_G21658	Procro_g20803
Cragig_G10673	Procro_g20675
Cragig_G12374	Procro_g20675
Cragig_G10322	Procro_g20675
Cragig_G19455	Procro_g20675
Cragig_G17551	Procro_g20675
Cragig_G21658	Procro_g20675
Cragig_G10735	Procro_g28482
Cragig_G10735	Procro_g30400
Procro_g24399	Cragig_G20901
Procro_g24399	Cragig_G30110
Procro_g7913	Cragig_G20901
Procro_g7913	Cragig_G30110
Procro_g5417	Cragig_G20901
Procro_g5417	Cragig_G30110
Procro_g13940	Cragig_G20901
Procro_g13940	Cragig_G30110
Procro_g24399	Cragig_G11760
Procro_g7913	Cragig_G11760
Procro_g5417	Cragig_G11760
Procro_g13940	Cragig_G11760
Procro_g24399	Cragig_G32403
Procro_g24399	Cragig_G16020
Procro_g24399	Cragig_G29176
Procro_g24399	Cragig_G16002
Procro_g24399	Cragig_G15440
Procro_g7913	Cragig_G32403
Procro_g7913	Cragig_G16020
Procro_g7913	Cragig_G29176
Procro_g7913	Cragig_G16002
Procro_g7913	Cragig_G15440
Procro_g5417	Cragig_G32403
Procro_g5417	Cragig_G16020
Procro_g5417	Cragig_G29176
Procro_g5417	Cragig_G16002
Procro_g5417	Cragig_G15440
Procro_g13940	Cragig_G32403
Procro_g13940	Cragig_G16020
Procro_g13940	Cragig_G29176
Procro_g13940	Cragig_G16002
Procro_g13940	Cragig_G15440
Cragig_G1318	Procro_g20675
Cragig_G1318	Procro_g20803
Cragig_G1318	Procro_g23179
Cragig_G1318	Procro_g27989
Procro_g7915	Cragig_G20901
Procro_g7915	Cragig_G30110
Cragig_G8477	Procro_g20803
Cragig_G8477	Procro_g20675
Cragig_G8477	Procro_g23179
Cragig_G8477	Procro_g27989
Procro_g23401	Cragig_G4362
Procro_g14079	Cragig_G4362
Procro_g23401	Cragig_G6788
Procro_g14079	Cragig_G6788
Procro_g23401	Cragig_G1318
Procro_g14079	Cragig_G1318
Procro_g23401	Cragig_G8477
Procro_g14079	Cragig_G8477
Procro_g13743	Cragig_G4362
Cragig_G30193	Procro_g28482
Cragig_G30193	Procro_g30400
Cragig_G30193	Procro_g27989
Cragig_G30193	Procro_g20803
Cragig_G30193	Procro_g3284
Cragig_G30193	Procro_g21687
Cragig_G30193	Procro_g23179
Cragig_G30193	Procro_g30677
Cragig_G30193	Procro_g38353
Cragig_G30193	Procro_g38354
Cragig_G30193	Procro_g29806
Cragig_G30193	Procro_g22347
Cragig_G30193	Procro_g25090
Cragig_G30193	Procro_g25091
Cragig_G30193	Procro_g25092
Cragig_G30193	Procro_g25093
Cragig_G30193	Procro_g25094
Cragig_G30193	Procro_g25095
Cragig_G30193	Procro_g15189
Cragig_G30193	Procro_g25096
Cragig_G30193	Procro_g25098
Cragig_G30193	Procro_g25099
Cragig_G30193	Procro_g25097
Cragig_G30193	Procro_g25100
Cragig_G30193	Procro_g16000
Cragig_G30193	Procro_g7890
Cragig_G30193	Procro_g7891
Cragig_G30193	Procro_g7892
Cragig_G30193	Procro_g7893
Cragig_G30193	Procro_g2100
Cragig_G30193	Procro_g8398
Cragig_G30193	Procro_g33222
Cragig_G30193	Procro_g2831
Cragig_G30193	Procro_g20106
Cragig_G30193	Procro_g17926
Cragig_G30193	Procro_g25084
Cragig_G30193	Procro_g25085
Cragig_G30193	Procro_g25087
Cragig_G30193	Procro_g3283
Cragig_G30193	Procro_g3282
Cragig_G30193	Procro_g20675
Cragig_G30193	Procro_g27260
Procro_g5426	Cragig_G11760
Procro_g5427	Cragig_G11760
Procro_g5420	Cragig_G11760
Procro_g5430	Cragig_G11760
Procro_g38352	Cragig_G11760
Procro_g5412	Cragig_G11760
Procro_g12329	Cragig_G11760
Procro_g30676	Cragig_G11760
Cragig_G4362	Procro_g28482
Cragig_G4362	Procro_g30400
Cragig_G4362	Procro_g20803
Cragig_G4362	Procro_g31990
Cragig_G4362	Procro_g32794
Cragig_G4362	Procro_g42494
Cragig_G4362	Procro_g34678
Cragig_G4362	Procro_g6436
Cragig_G4362	Procro_g27260
Cragig_G4362	Procro_g32818
Cragig_G4362	Procro_g27989
Cragig_G4362	Procro_g23179
Cragig_G4362	Procro_g20675
Cragig_G4362	Procro_g29397
Cragig_G11760	Procro_g25734
Cragig_G11760	Procro_g41826
Cragig_G11760	Procro_g41825
Cragig_G11760	Procro_g23179
Cragig_G11760	Procro_g27260
Cragig_G11760	Procro_g32818
Cragig_G11760	Procro_g27989
Cragig_G11760	Procro_g36053
Cragig_G11760	Procro_g31990
Procro_g13794	Cragig_G11760
Procro_g13794	Cragig_G6788
Procro_g13794	Cragig_G20168
Procro_g13794	Cragig_G20901
Procro_g13794	Cragig_G30110
Procro_g13794	Cragig_G23448
Procro_g13794	Cragig_G32403
Procro_g13794	Cragig_G16020
Procro_g13794	Cragig_G29176
Procro_g13794	Cragig_G16002
Procro_g13794	Cragig_G15440
Procro_g13794	Cragig_G26733
Procro_g13794	Cragig_G8543
Cragig_G32403	Procro_g32794
Cragig_G32403	Procro_g42494
Cragig_G32403	Procro_g34678
Cragig_G32403	Procro_g6436
Cragig_G16020	Procro_g32794
Cragig_G16020	Procro_g42494
Cragig_G16020	Procro_g34678
Cragig_G16020	Procro_g6436
Cragig_G29176	Procro_g32794
Cragig_G29176	Procro_g42494
Cragig_G29176	Procro_g34678
Cragig_G29176	Procro_g6436
Cragig_G16002	Procro_g32794
Cragig_G16002	Procro_g42494
Cragig_G16002	Procro_g34678
Cragig_G16002	Procro_g6436
Cragig_G15440	Procro_g32794
Cragig_G15440	Procro_g42494
Cragig_G15440	Procro_g34678
Cragig_G15440	Procro_g6436
Cragig_G32403	Procro_g36053
Cragig_G16020	Procro_g36053
Cragig_G29176	Procro_g36053
Cragig_G16002	Procro_g36053
Cragig_G15440	Procro_g36053
Cragig_G32403	Procro_g28482
Cragig_G32403	Procro_g30400
Cragig_G16020	Procro_g28482
Cragig_G16020	Procro_g30400
Cragig_G29176	Procro_g28482
Cragig_G29176	Procro_g30400
Cragig_G16002	Procro_g28482
Cragig_G16002	Procro_g30400
Cragig_G15440	Procro_g28482
Cragig_G15440	Procro_g30400
Cragig_G32403	Procro_g27260
Cragig_G16020	Procro_g27260
Cragig_G29176	Procro_g27260
Cragig_G16002	Procro_g27260
Cragig_G15440	Procro_g27260
Cragig_G32403	Procro_g23179
Cragig_G16020	Procro_g23179
Cragig_G29176	Procro_g23179
Cragig_G16002	Procro_g23179
Cragig_G15440	Procro_g23179
Cragig_G32403	Procro_g27989
Cragig_G16020	Procro_g27989
Cragig_G29176	Procro_g27989
Cragig_G16002	Procro_g27989
Cragig_G15440	Procro_g27989
Cragig_G32403	Procro_g41825
Cragig_G16020	Procro_g41825
Cragig_G29176	Procro_g41825
Cragig_G16002	Procro_g41825
Cragig_G15440	Procro_g41825
Cragig_G32403	Procro_g31990
Cragig_G16020	Procro_g31990
Cragig_G29176	Procro_g31990
Cragig_G16002	Procro_g31990
Cragig_G15440	Procro_g31990
Cragig_G32403	Procro_g32818
Cragig_G16020	Procro_g32818
Cragig_G29176	Procro_g32818
Cragig_G16002	Procro_g32818
Cragig_G15440	Procro_g32818
Cragig_G32403	Procro_g28706
Cragig_G16020	Procro_g28706
Cragig_G29176	Procro_g28706
Cragig_G16002	Procro_g28706
Cragig_G15440	Procro_g28706
Cragig_G32403	Procro_g20675
Cragig_G16020	Procro_g20675
Cragig_G29176	Procro_g20675
Cragig_G16002	Procro_g20675
Cragig_G15440	Procro_g20675
Cragig_G32403	Procro_g29814
Cragig_G16020	Procro_g29814
Cragig_G29176	Procro_g29814
Cragig_G16002	Procro_g29814
Cragig_G15440	Procro_g29814
Cragig_G32403	Procro_g29397
Cragig_G16020	Procro_g29397
Cragig_G29176	Procro_g29397
Cragig_G16002	Procro_g29397
Cragig_G15440	Procro_g29397
Procro_g1628	Cragig_G32403
Procro_g1628	Cragig_G16020
Procro_g1628	Cragig_G29176
Procro_g1628	Cragig_G16002
Procro_g1628	Cragig_G15440
Procro_g1628	Cragig_G11760
Procro_g1628	Cragig_G20168
Procro_g1628	Cragig_G8543
Procro_g1628	Cragig_G23448
Cragig_G20901	Procro_g29814
Cragig_G30110	Procro_g29814
Cragig_G20901	Procro_g41825
Cragig_G30110	Procro_g41825
Cragig_G20901	Procro_g30673
Cragig_G20901	Procro_g24398
Cragig_G30110	Procro_g30673
Cragig_G30110	Procro_g24398
Cragig_G20901	Procro_g25090
Cragig_G20901	Procro_g25091
Cragig_G20901	Procro_g25092
Cragig_G20901	Procro_g25093
Cragig_G20901	Procro_g25094
Cragig_G20901	Procro_g25095
Cragig_G20901	Procro_g15189
Cragig_G20901	Procro_g25096
Cragig_G20901	Procro_g25098
Cragig_G20901	Procro_g25099
Cragig_G20901	Procro_g25097
Cragig_G20901	Procro_g25100
Cragig_G20901	Procro_g16000
Cragig_G20901	Procro_g7890
Cragig_G20901	Procro_g7891
Cragig_G20901	Procro_g7892
Cragig_G20901	Procro_g7893
Cragig_G20901	Procro_g2100
Cragig_G20901	Procro_g8398
Cragig_G20901	Procro_g33222
Cragig_G20901	Procro_g2831
Cragig_G20901	Procro_g20106
Cragig_G20901	Procro_g17926
Cragig_G20901	Procro_g25084
Cragig_G20901	Procro_g25085
Cragig_G20901	Procro_g25087
Cragig_G30110	Procro_g25090
Cragig_G30110	Procro_g25091
Cragig_G30110	Procro_g25092
Cragig_G30110	Procro_g25093
Cragig_G30110	Procro_g25094
Cragig_G30110	Procro_g25095
Cragig_G30110	Procro_g15189
Cragig_G30110	Procro_g25096
Cragig_G30110	Procro_g25098
Cragig_G30110	Procro_g25099
Cragig_G30110	Procro_g25097
Cragig_G30110	Procro_g25100
Cragig_G30110	Procro_g16000
Cragig_G30110	Procro_g7890
Cragig_G30110	Procro_g7891
Cragig_G30110	Procro_g7892
Cragig_G30110	Procro_g7893
Cragig_G30110	Procro_g2100
Cragig_G30110	Procro_g8398
Cragig_G30110	Procro_g33222
Cragig_G30110	Procro_g2831
Cragig_G30110	Procro_g20106
Cragig_G30110	Procro_g17926
Cragig_G30110	Procro_g25084
Cragig_G30110	Procro_g25085
Cragig_G30110	Procro_g25087
Cragig_G20901	Procro_g30260
Cragig_G30110	Procro_g30260
Cragig_G20901	Procro_g41826
Cragig_G30110	Procro_g41826
Cragig_G20901	Procro_g32794
Cragig_G20901	Procro_g42494
Cragig_G20901	Procro_g34678
Cragig_G20901	Procro_g6436
Cragig_G30110	Procro_g32794
Cragig_G30110	Procro_g42494
Cragig_G30110	Procro_g34678
Cragig_G30110	Procro_g6436
Cragig_G20901	Procro_g27260
Cragig_G30110	Procro_g27260
Cragig_G20901	Procro_g32818
Cragig_G30110	Procro_g32818
Cragig_G20901	Procro_g11039
Cragig_G30110	Procro_g11039
Cragig_G20901	Procro_g31990
Cragig_G30110	Procro_g31990
Procro_g13808	Cragig_G11760
Procro_g13808	Cragig_G32403
Procro_g13808	Cragig_G16020
Procro_g13808	Cragig_G29176
Procro_g13808	Cragig_G16002
Procro_g13808	Cragig_G15440
Procro_g13808	Cragig_G20168
Cragig_G16692	Procro_g28482
Cragig_G16692	Procro_g30400
Procro_g7707	Cragig_G32403
Procro_g7707	Cragig_G16020
Procro_g7707	Cragig_G29176
Procro_g7707	Cragig_G16002
Procro_g7707	Cragig_G15440
Procro_g7707	Cragig_G20168
Procro_g7707	Cragig_G4362
Procro_g7707	Cragig_G6788
Procro_g7707	Cragig_G20901
Procro_g7707	Cragig_G30110
Procro_g845	Cragig_G32403
Procro_g845	Cragig_G16020
Procro_g845	Cragig_G29176
Procro_g845	Cragig_G16002
Procro_g845	Cragig_G15440
Procro_g845	Cragig_G20168
Procro_g845	Cragig_G4362
Procro_g845	Cragig_G8543
Procro_g845	Cragig_G26733
Procro_g845	Cragig_G11760
Cragig_G12892	Procro_g27989
Cragig_G12892	Procro_g28482
Cragig_G12892	Procro_g30400
Procro_g5955	Cragig_G32403
Procro_g5955	Cragig_G16020
Procro_g5955	Cragig_G29176
Procro_g5955	Cragig_G16002
Procro_g5955	Cragig_G15440
Procro_g5955	Cragig_G20168
Procro_g5955	Cragig_G20901
Procro_g5955	Cragig_G30110
Procro_g5955	Cragig_G4362
Procro_g5955	Cragig_G26733
Procro_g5955	Cragig_G10735
Procro_g13807	Cragig_G11760
Procro_g589	Cragig_G11760
Procro_g13807	Cragig_G32403
Procro_g13807	Cragig_G16020
Procro_g13807	Cragig_G29176
Procro_g13807	Cragig_G16002
Procro_g13807	Cragig_G15440
Procro_g589	Cragig_G32403
Procro_g589	Cragig_G16020
Procro_g589	Cragig_G29176
Procro_g589	Cragig_G16002
Procro_g589	Cragig_G15440
Procro_g13807	Cragig_G20168
Procro_g589	Cragig_G20168
Procro_g1007	Cragig_G11760
Procro_g1007	Cragig_G8477
Procro_g1007	Cragig_G1318
Cragig_G6788	Procro_g31990
Cragig_G20168	Procro_g32794
Cragig_G20168	Procro_g42494
Cragig_G20168	Procro_g34678
Cragig_G20168	Procro_g6436
Cragig_G20168	Procro_g36053
Cragig_G20168	Procro_g28482
Cragig_G20168	Procro_g30400
Cragig_G20168	Procro_g27260
Cragig_G20168	Procro_g23179
Cragig_G20168	Procro_g27989
Cragig_G20168	Procro_g31990
Cragig_G20168	Procro_g32818
Cragig_G20168	Procro_g28706
Cragig_G20168	Procro_g20675
Cragig_G20168	Procro_g11039
Cragig_G20168	Procro_g29397
Cragig_G8543	Procro_g28482
Cragig_G8543	Procro_g30400
Cragig_G8543	Procro_g27989
Cragig_G8543	Procro_g20675
Cragig_G8543	Procro_g5955
Procro_g590	Cragig_G11760
Procro_g590	Cragig_G32403
Procro_g590	Cragig_G16020
Procro_g590	Cragig_G29176
Procro_g590	Cragig_G16002
Procro_g590	Cragig_G15440
Procro_g590	Cragig_G20168
Procro_g7246	Cragig_G32403
Procro_g7246	Cragig_G16020
Procro_g7246	Cragig_G29176
Procro_g7246	Cragig_G16002
Procro_g7246	Cragig_G15440
Procro_g7246	Cragig_G20168
Procro_g18584	Cragig_G32403
Procro_g18584	Cragig_G16020
Procro_g18584	Cragig_G29176
Procro_g18584	Cragig_G16002
Procro_g18584	Cragig_G15440
Procro_g18584	Cragig_G6788
Procro_g18584	Cragig_G20168
Procro_g18584	Cragig_G20901
Procro_g18584	Cragig_G30110
Procro_g18584	Cragig_G4362
Procro_g18584	Cragig_G26733
Cragig_G23008	Procro_g11785
Cragig_G194	Procro_g11795
Cragig_G21679	Procro_g11811
Procro_g16324	Cragig_G26222
Procro_g16324	Cragig_G33133
Procro_g6420	Cragig_G33627
Procro_g6934	Cragig_G26222
Procro_g6934	Cragig_G33133
Procro_g9325	Cragig_G29664
Procro_g7298	Cragig_G26222
Procro_g7298	Cragig_G33133
Procro_g18502	Cragig_G26222
Procro_g18502	Cragig_G33133
Procro_g1529	Cragig_G26222
Procro_g1529	Cragig_G33133
Procro_g40034	Cragig_G26222
Procro_g40034	Cragig_G33133
Procro_g20703	Cragig_G26222
Procro_g20703	Cragig_G33133
Procro_g8800	Cragig_G16896
Procro_g1044	Cragig_G26222
Procro_g1044	Cragig_G33133
Cragig_G26222	Procro_g4598
Cragig_G33133	Procro_g4598
Cragig_G26222	Procro_g12301
Cragig_G33133	Procro_g12301
Cragig_G26222	Procro_g40667
Cragig_G33133	Procro_g40667
Cragig_G26222	Procro_g26508
Cragig_G26222	Procro_g4222
Cragig_G26222	Procro_g518
Cragig_G26222	Procro_g9273
Cragig_G33133	Procro_g26508
Cragig_G33133	Procro_g4222
Cragig_G33133	Procro_g518
Cragig_G33133	Procro_g9273
Cragig_G26222	Procro_g39291
Cragig_G33133	Procro_g39291
Cragig_G26222	Procro_g20542
Cragig_G33133	Procro_g20542
Cragig_G26222	Procro_g23603
Cragig_G33133	Procro_g23603
Cragig_G26222	Procro_g24113
Cragig_G33133	Procro_g24113
Cragig_G26222	Procro_g1942
Cragig_G33133	Procro_g1942
